Date	Count
2010-07-22	1133
2010-07-21	2292
2010-07-20	2089
2010-07-19	2049
2010-07-18	1297
2010-07-17	1165
2010-07-16	1837
2010-07-15	2064
2010-07-14	2256
2010-07-13	2347
2010-07-12	2099
2010-07-11	1163
2010-07-10	1256
2010-07-09	1669
2010-07-08	1807
2010-07-07	1761
2010-07-06	1615
2010-07-05	1151
2010-07-04	1333
2010-07-03	956
2010-07-02	1518
2010-07-01	2152
2010-06-30	1606
2010-06-29	2197
2010-06-28	1585
2010-06-27	1050
2010-06-26	1043
2010-06-25	1324
2010-06-24	1527
2010-06-23	2282
